age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
47,housemaid,married,secondary,yes,-1531,yes,no,cellular,31,jul,156,8,999,0,unknown,no
46,management,married,tertiary,no,385,yes,no,unknown,29,may,52,4,999,0,unknown,no
35,management,single,tertiary,no,837,no,no,cellular,4,aug,329,1,999,0,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,9,feb,226,3,280,1,other,no
58,retired,divorced,tertiary,no,499,yes,yes,cellular,29,jan,181,1,999,0,unknown,no
31,blue-collar,married,primary,no,-454,yes,yes,unknown,28,may,861,2,999,0,unknown,no
49,technician,married,tertiary,no,80,no,no,cellular,17,jul,123,1,999,0,unknown,no
59,management,married,unknown,no,3534,no,no,cellular,21,nov,216,4,999,0,unknown,no
35,management,married,tertiary,no,1193,yes,no,unknown,2,jun,101,2,999,0,unknown,no
57,entrepreneur,divorced,tertiary,no,873,no,no,unknown,17,jun,441,3,999,0,unknown,no
44,admin.,single,secondary,no,985,yes,yes,cellular,11,may,9,7,325,19,failure,no
37,management,single,tertiary,no,0,no,no,cellular,20,oct,107,1,258,3,other,no
31,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,999,0,unknown,no
57,management,divorced,unknown,no,0,no,no,unknown,13,may,95,1,999,0,unknown,no
32,management,married,tertiary,no,0,no,no,cellular,29,aug,183,2,999,0,unknown,no
51,admin.,married,primary,no,658,yes,no,unknown,14,may,369,1,999,0,unknown,no
34,entrepreneur,married,tertiary,no,121,yes,no,telephone,18,may,57,6,999,0,unknown,no
45,blue-collar,married,secondary,no,603,no,no,cellular,22,may,204,1,999,0,unknown,no
56,management,divorced,tertiary,no,310,no,no,unknown,20,jun,75,4,999,0,unknown,no
35,services,married,secondary,no,819,yes,no,telephone,14,jul,102,14,999,0,unknown,no
28,blue-collar,single,secondary,no,3817,yes,no,cellular,4,may,528,3,999,0,unknown,no
27,self-employed,single,tertiary,no,4574,no,no,cellular,12,aug,187,2,999,0,unknown,no
45,management,married,tertiary,no,1300,no,no,cellular,30,jul,135,3,999,0,unknown,no
52,blue-collar,married,primary,no,1624,no,no,unknown,20,jun,114,3,999,0,unknown,no
26,management,single,tertiary,no,7628,no,no,cellular,1,apr,263,1,999,0,unknown,no
45,admin.,single,secondary,no,341,yes,yes,cellular,5,may,77,2,999,0,unknown,no
30,technician,married,secondary,no,590,yes,no,unknown,23,may,242,3,999,0,unknown,no
37,blue-collar,married,secondary,no,454,yes,no,unknown,12,may,115,1,999,0,unknown,no
30,services,single,secondary,no,-143,yes,no,cellular,15,may,85,1,999,0,unknown,no
55,housemaid,married,primary,no,3680,no,no,unknown,16,jun,131,1,999,0,unknown,no
42,management,married,tertiary,no,2110,no,yes,cellular,31,jul,106,2,999,0,unknown,no
45,blue-collar,married,secondary,no,2071,no,yes,telephone,22,jul,1148,2,999,0,unknown,no
27,blue-collar,single,primary,no,431,yes,no,unknown,15,may,286,2,999,0,unknown,no
28,technician,married,primary,no,-58,yes,no,unknown,8,may,74,1,999,0,unknown,no
31,unemployed,single,unknown,no,167,no,no,cellular,20,nov,316,1,999,0,unknown,no
40,blue-collar,divorced,primary,no,54,yes,no,cellular,13,may,10,5,362,3,other,no
33,management,married,tertiary,no,1195,yes,no,telephone,13,may,355,4,999,0,unknown,no
50,entrepreneur,married,primary,no,237,yes,yes,unknown,30,may,184,4,999,0,unknown,no
56,retired,married,secondary,no,488,no,no,telephone,6,feb,146,4,999,0,unknown,no
33,admin.,married,secondary,no,393,yes,no,unknown,28,may,383,1,999,0,unknown,no
28,student,single,secondary,no,154,yes,no,unknown,20,may,21,9,999,0,unknown,no
30,admin.,married,secondary,no,482,no,no,cellular,23,apr,86,1,999,0,unknown,no
26,admin.,married,secondary,no,2469,no,no,cellular,16,jul,136,8,999,0,unknown,no
57,blue-collar,married,secondary,no,773,yes,yes,unknown,18,jun,97,8,999,0,unknown,no
54,blue-collar,married,primary,no,532,no,no,telephone,31,jul,73,2,999,0,unknown,no
21,student,single,secondary,no,357,no,no,cellular,2,sep,115,3,999,0,unknown,no
33,blue-collar,married,secondary,no,285,no,yes,unknown,3,jul,267,1,999,0,unknown,no
31,admin.,married,secondary,no,337,no,no,unknown,12,may,51,1,999,0,unknown,no
34,technician,single,secondary,no,4367,no,no,cellular,13,aug,121,2,999,0,unknown,no
54,retired,married,primary,no,0,yes,no,cellular,11,jul,159,2,999,0,unknown,no
57,blue-collar,married,secondary,no,2058,yes,no,telephone,18,may,23,2,999,0,unknown,no
33,technician,divorced,secondary,no,522,no,yes,cellular,7,jul,559,4,999,0,unknown,no
35,unemployed,married,secondary,no,2228,no,no,unknown,19,jun,461,2,999,0,unknown,no
32,blue-collar,married,secondary,no,130,yes,no,cellular,6,may,302,2,999,0,unknown,no
41,blue-collar,married,secondary,no,598,yes,no,cellular,12,may,69,3,364,11,failure,no
42,management,married,tertiary,no,72,yes,no,cellular,20,apr,124,2,348,3,failure,no
32,technician,single,tertiary,no,13711,yes,no,cellular,14,may,638,1,175,3,success,no
51,management,married,tertiary,no,-15,no,no,cellular,25,jul,212,2,999,0,unknown,no
41,services,married,secondary,no,2399,yes,no,cellular,15,may,303,2,351,2,failure,no
31,management,single,tertiary,no,153,no,no,cellular,9,feb,65,3,999,0,unknown,no
33,management,single,tertiary,no,191,no,yes,cellular,3,feb,678,4,209,1,failure,no
31,technician,single,secondary,no,253,no,no,cellular,13,jan,262,1,999,0,unknown,no
35,technician,married,secondary,no,0,yes,no,cellular,6,apr,139,1,999,0,unknown,no
39,housemaid,married,tertiary,no,94,no,no,cellular,6,aug,181,2,999,0,unknown,no
44,management,married,secondary,no,488,no,yes,cellular,29,jan,138,2,183,11,failure,no
41,blue-collar,single,primary,no,22,yes,no,unknown,14,may,152,1,999,0,unknown,no
33,blue-collar,married,secondary,yes,2,no,no,unknown,23,may,74,4,999,0,unknown,no
47,technician,married,secondary,no,19,yes,no,unknown,6,may,105,2,999,0,unknown,no
32,entrepreneur,divorced,secondary,no,-934,yes,no,cellular,18,nov,50,1,999,0,unknown,no
55,management,divorced,tertiary,no,668,no,no,cellular,28,aug,25,6,999,0,unknown,no
52,unemployed,married,tertiary,no,2133,no,yes,cellular,18,jul,90,1,999,0,unknown,no
57,unemployed,married,tertiary,no,209,no,no,unknown,19,jun,453,1,999,0,unknown,no
37,blue-collar,married,primary,no,1322,yes,no,cellular,21,nov,14,8,185,1,other,no
50,management,divorced,tertiary,no,60,no,no,cellular,19,aug,255,2,999,0,unknown,no
39,technician,single,secondary,no,1685,yes,no,cellular,8,may,319,1,368,1,failure,no
28,blue-collar,single,tertiary,no,1984,yes,no,cellular,4,may,32,2,14,1,failure,no
45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,no
47,unknown,married,unknown,no,1880,no,no,unknown,18,jun,64,2,999,0,unknown,no
34,blue-collar,married,secondary,no,-436,yes,no,unknown,26,may,317,1,999,0,unknown,no
47,services,married,secondary,no,1717,no,no,cellular,20,aug,216,9,999,0,unknown,no
59,retired,married,secondary,no,2291,no,yes,cellular,14,jul,127,3,999,0,unknown,no
49,blue-collar,married,primary,no,247,no,yes,cellular,22,jul,283,1,999,0,unknown,no
43,blue-collar,married,secondary,no,1311,yes,no,unknown,14,may,746,1,999,0,unknown,no
50,management,married,tertiary,no,0,no,no,cellular,10,aug,232,3,130,3,other,no
41,blue-collar,single,unknown,no,961,yes,no,unknown,29,may,117,1,999,0,unknown,no
32,management,single,tertiary,no,41,yes,no,cellular,7,may,449,1,338,1,other,no
33,management,single,tertiary,no,541,yes,yes,unknown,21,may,572,1,999,0,unknown,no
35,technician,single,secondary,no,-54,yes,no,unknown,30,may,70,2,999,0,unknown,no
38,self-employed,married,secondary,no,30,no,no,unknown,16,jun,91,1,999,0,unknown,no
42,blue-collar,married,secondary,no,1297,yes,no,cellular,3,apr,697,2,999,0,unknown,no
45,blue-collar,single,secondary,no,615,yes,no,cellular,15,may,133,1,999,0,unknown,no
34,admin.,married,secondary,no,1499,yes,no,cellular,13,apr,186,1,327,2,failure,no
33,services,married,secondary,no,-384,yes,no,cellular,9,jul,125,1,999,0,unknown,no
46,admin.,married,secondary,no,-42,no,yes,telephone,28,jul,181,12,999,0,unknown,no
39,blue-collar,married,primary,no,12848,yes,no,unknown,5,jun,337,2,999,0,unknown,no
51,blue-collar,married,primary,no,844,yes,no,unknown,29,may,184,3,999,0,unknown,no
54,management,married,secondary,no,2895,yes,no,cellular,9,feb,20,2,256,1,failure,no
47,technician,married,tertiary,no,545,yes,no,cellular,12,aug,588,3,999,0,unknown,no
32,technician,single,tertiary,no,703,yes,no,cellular,3,feb,489,2,271,2,success,no
40,management,single,tertiary,no,171,no,no,cellular,19,aug,1241,3,999,0,unknown,no
39,admin.,single,unknown,no,0,yes,no,cellular,11,may,62,1,999,0,unknown,no
40,admin.,single,tertiary,no,1005,yes,no,cellular,21,jul,449,1,999,0,unknown,no
41,management,married,tertiary,no,653,yes,no,telephone,17,nov,60,2,999,0,unknown,no
52,technician,divorced,secondary,no,511,no,yes,cellular,20,aug,98,4,999,0,unknown,no
51,admin.,divorced,secondary,no,-338,yes,no,cellular,29,jul,97,2,999,0,unknown,no
26,services,single,secondary,no,531,yes,yes,cellular,6,feb,184,1,999,0,unknown,no
54,unknown,married,unknown,no,390,no,no,cellular,20,aug,68,5,999,0,unknown,no
53,services,married,primary,no,49,no,no,unknown,28,may,152,1,999,0,unknown,no
51,blue-collar,married,secondary,no,4695,no,no,cellular,29,aug,8,10,999,0,unknown,no
33,admin.,married,tertiary,no,640,no,no,cellular,24,jul,318,1,999,0,unknown,no
60,self-employed,married,secondary,no,0,no,no,unknown,6,jun,97,1,999,0,unknown,no
39,blue-collar,married,secondary,no,854,yes,yes,cellular,6,may,181,1,999,0,unknown,no
48,technician,divorced,tertiary,no,83,no,yes,cellular,19,aug,243,6,999,0,unknown,no
36,admin.,single,secondary,no,115,no,no,cellular,4,may,134,3,91,1,failure,no
45,management,married,primary,no,4629,no,no,telephone,2,apr,285,2,999,0,unknown,no
43,management,married,unknown,no,5172,yes,no,unknown,29,may,57,3,999,0,unknown,no
31,technician,married,secondary,no,589,yes,yes,unknown,21,may,151,1,999,0,unknown,no
32,technician,married,tertiary,no,240,yes,yes,cellular,14,jul,86,3,999,0,unknown,no
55,admin.,married,secondary,no,183,yes,no,unknown,6,may,150,1,999,0,unknown,no
37,services,single,secondary,no,934,yes,no,unknown,16,may,242,3,999,0,unknown,no
30,management,single,tertiary,no,2,no,no,cellular,27,aug,19,21,999,0,unknown,no
36,management,single,tertiary,no,2163,no,no,cellular,5,jun,317,1,999,0,unknown,no
36,blue-collar,divorced,secondary,no,719,yes,no,unknown,13,may,1052,1,999,0,unknown,no
35,admin.,single,secondary,no,2830,no,no,unknown,20,jun,22,12,999,0,unknown,no
39,admin.,single,secondary,no,14,yes,yes,unknown,13,may,19,9,999,0,unknown,no
58,admin.,married,unknown,no,903,no,no,cellular,28,jan,56,1,999,0,unknown,no
36,management,divorced,secondary,no,1655,yes,no,cellular,18,nov,155,2,999,0,unknown,no
42,management,married,tertiary,no,-700,yes,no,unknown,14,may,110,1,999,0,unknown,no
39,technician,married,secondary,no,24,yes,no,cellular,28,jan,79,4,999,0,unknown,no
42,housemaid,married,primary,no,1371,no,no,unknown,18,jun,125,8,999,0,unknown,no
35,management,married,tertiary,no,750,yes,no,cellular,18,aug,233,12,999,0,unknown,no
48,blue-collar,married,primary,no,2227,no,no,cellular,18,aug,98,12,999,0,unknown,no
41,management,divorced,tertiary,no,1401,no,no,unknown,16,jun,110,4,999,0,unknown,no
19,student,single,unknown,no,60,no,no,cellular,14,aug,253,1,999,0,unknown,no
43,blue-collar,single,primary,no,548,yes,no,unknown,7,may,98,1,999,0,unknown,no
33,management,single,tertiary,no,275,no,no,cellular,18,nov,348,1,999,0,unknown,no
34,technician,single,tertiary,no,2671,no,no,cellular,19,aug,119,9,999,0,unknown,no
42,management,married,tertiary,no,24780,no,no,cellular,6,aug,184,2,999,0,unknown,no
49,technician,married,primary,no,230,yes,no,unknown,8,may,96,1,999,0,unknown,no
30,blue-collar,married,primary,no,35,yes,no,cellular,11,jul,366,2,999,0,unknown,no
51,housemaid,married,primary,no,618,yes,yes,cellular,4,feb,69,1,999,0,unknown,no
37,blue-collar,married,primary,no,89,no,yes,telephone,8,jul,336,4,999,0,unknown,no
37,admin.,divorced,secondary,no,3975,yes,no,cellular,11,may,163,2,999,0,unknown,no
35,blue-collar,single,secondary,no,487,yes,no,unknown,15,may,117,1,999,0,unknown,no
44,services,single,secondary,no,0,yes,no,unknown,14,may,198,1,999,0,unknown,no
31,self-employed,married,tertiary,no,414,no,no,cellular,14,aug,169,5,999,0,unknown,no
49,technician,married,secondary,no,12531,no,no,cellular,13,aug,77,8,999,0,unknown,no
28,blue-collar,single,primary,no,0,yes,yes,unknown,3,jun,380,4,999,0,unknown,no
33,management,married,tertiary,no,0,yes,no,cellular,28,jul,54,3,999,0,unknown,no
43,admin.,married,secondary,no,0,no,no,unknown,20,jun,804,12,999,0,unknown,no
55,management,married,tertiary,no,1161,yes,no,cellular,20,nov,8,6,999,0,unknown,no
49,housemaid,divorced,primary,no,198,yes,no,unknown,13,may,205,3,999,0,unknown,no
54,management,married,tertiary,no,588,no,no,cellular,13,aug,327,1,999,0,unknown,no
47,blue-collar,married,secondary,no,116,yes,no,unknown,8,may,376,2,999,0,unknown,no
26,admin.,single,secondary,no,712,yes,no,unknown,6,may,232,1,999,0,unknown,no
43,technician,married,secondary,no,629,no,no,cellular,5,aug,196,1,999,0,unknown,no
31,blue-collar,single,secondary,no,1207,yes,no,cellular,17,apr,163,2,999,0,unknown,no
57,retired,divorced,secondary,no,316,no,no,cellular,28,jan,935,2,999,0,unknown,no
52,services,married,secondary,no,2081,yes,no,unknown,29,may,150,1,999,0,unknown,no
58,technician,married,secondary,no,116,no,no,unknown,16,jun,580,3,999,0,unknown,no
24,admin.,single,secondary,no,1235,yes,yes,unknown,30,may,76,3,999,0,unknown,no
39,admin.,single,secondary,no,223,no,no,cellular,4,feb,277,1,999,0,unknown,no
59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,999,0,unknown,no
35,admin.,single,tertiary,no,777,no,yes,cellular,28,may,85,1,999,0,unknown,no
44,unemployed,married,tertiary,no,1151,yes,no,unknown,5,jun,127,2,999,0,unknown,no
51,management,married,tertiary,no,1612,yes,no,cellular,18,nov,61,2,131,1,failure,no
48,services,married,secondary,no,2850,yes,no,cellular,6,aug,107,3,999,0,unknown,no
28,student,single,secondary,no,28,no,no,cellular,29,jan,220,2,999,0,unknown,no
29,student,single,secondary,no,314,no,no,cellular,13,aug,485,3,105,1,success,no
44,blue-collar,married,primary,no,2,no,yes,telephone,7,jul,46,2,999,0,unknown,no
47,technician,divorced,secondary,no,1851,yes,no,unknown,19,may,140,2,999,0,unknown,no
44,technician,married,secondary,no,5163,no,no,cellular,11,aug,48,2,999,0,unknown,no
42,technician,single,tertiary,no,35,yes,yes,cellular,17,nov,38,1,115,5,other,no
33,management,single,tertiary,no,1859,yes,no,cellular,30,jan,1169,4,999,0,unknown,no
46,blue-collar,married,primary,no,7934,yes,no,unknown,19,may,123,1,999,0,unknown,no
60,self-employed,married,secondary,no,1690,no,no,cellular,28,aug,64,11,999,0,unknown,no
60,retired,married,primary,no,364,yes,no,unknown,6,may,631,2,999,0,unknown,no
46,blue-collar,married,secondary,no,2348,no,no,cellular,17,nov,182,1,999,0,unknown,no
39,blue-collar,single,secondary,no,29,yes,no,unknown,7,may,214,2,999,0,unknown,no
33,blue-collar,single,primary,no,910,yes,no,cellular,20,apr,42,1,999,0,unknown,no
54,management,married,tertiary,no,203,no,no,cellular,21,nov,70,1,999,0,unknown,no
39,admin.,married,primary,no,444,yes,no,cellular,8,may,374,2,999,0,unknown,no
45,services,married,secondary,no,561,yes,no,unknown,29,may,340,7,999,0,unknown,no
36,management,married,tertiary,no,532,yes,no,cellular,14,may,603,1,999,0,unknown,no
33,services,divorced,secondary,yes,339,yes,no,unknown,23,may,496,4,999,0,unknown,no
39,admin.,married,secondary,no,1595,yes,no,unknown,5,jun,102,2,999,0,unknown,no
44,services,married,secondary,no,191,yes,yes,cellular,7,may,490,1,999,0,unknown,no
50,management,married,tertiary,yes,72,no,no,cellular,22,aug,171,13,999,0,unknown,no
32,management,married,secondary,no,0,no,no,cellular,20,aug,162,4,999,0,unknown,no
48,unemployed,married,secondary,no,855,yes,no,unknown,9,may,241,2,999,0,unknown,no
38,services,married,secondary,no,968,yes,no,cellular,6,apr,272,1,999,0,unknown,no
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283,1,999,0,unknown,no
47,management,married,unknown,no,1128,no,no,cellular,28,jan,65,2,999,0,unknown,no
35,management,married,tertiary,no,3168,no,no,cellular,22,aug,24,30,999,0,unknown,no
45,management,married,unknown,no,9051,yes,no,unknown,19,may,124,63,999,0,unknown,no
35,blue-collar,married,primary,no,-367,yes,no,cellular,11,may,77,1,350,1,failure,no
39,admin.,divorced,secondary,no,32,no,yes,unknown,20,jun,8,10,999,0,unknown,no
54,blue-collar,married,unknown,no,-361,yes,no,unknown,26,may,227,1,999,0,unknown,no
39,blue-collar,married,primary,no,-50,yes,no,cellular,15,may,100,1,999,0,unknown,no
47,blue-collar,married,primary,no,304,yes,no,unknown,12,may,185,1,999,0,unknown,no
30,self-employed,married,secondary,no,131,yes,no,unknown,8,may,306,1,999,0,unknown,no
40,admin.,single,unknown,no,355,yes,no,cellular,7,apr,345,2,138,6,other,no
43,admin.,single,secondary,no,386,no,no,cellular,12,oct,242,1,92,4,success,no
26,blue-collar,married,secondary,no,2770,yes,no,unknown,8,may,141,1,999,0,unknown,no
45,blue-collar,married,primary,no,1794,yes,no,unknown,14,may,174,2,999,0,unknown,no
32,management,married,tertiary,no,71,no,no,cellular,2,feb,75,1,999,0,unknown,no
53,self-employed,married,primary,no,4576,no,no,telephone,30,jul,82,2,999,0,unknown,no
30,technician,single,secondary,no,411,yes,no,cellular,16,apr,948,1,999,0,unknown,no
39,technician,married,tertiary,no,108,no,no,cellular,28,may,589,3,28,2,other,no
49,admin.,married,secondary,no,1047,no,no,cellular,8,aug,133,4,999,0,unknown,no
35,technician,married,secondary,no,2019,yes,yes,cellular,18,nov,83,2,144,1,failure,no
32,self-employed,married,primary,no,286,yes,no,cellular,6,aug,175,1,999,0,unknown,no
47,blue-collar,married,secondary,no,581,yes,no,cellular,26,aug,79,6,999,0,unknown,no
33,technician,single,tertiary,no,154,no,no,cellular,18,mar,159,2,999,0,unknown,no
24,admin.,married,secondary,no,0,yes,no,cellular,16,apr,284,1,999,0,unknown,no
34,admin.,married,secondary,no,641,yes,yes,unknown,16,may,467,1,999,0,unknown,no
32,blue-collar,single,secondary,no,6337,yes,no,cellular,19,nov,126,2,999,0,unknown,no
30,admin.,married,secondary,yes,23,no,yes,cellular,4,feb,149,2,999,0,unknown,no
52,housemaid,married,primary,no,3283,no,no,unknown,11,jun,553,1,999,0,unknown,no
53,management,married,tertiary,no,241,yes,no,cellular,19,nov,137,1,999,0,unknown,no
43,technician,divorced,primary,no,13,no,yes,cellular,9,jul,977,4,999,0,unknown,no
44,blue-collar,married,unknown,no,15578,yes,no,unknown,29,may,401,1,999,0,unknown,no
31,admin.,married,secondary,no,3,yes,no,cellular,28,jul,37,12,999,0,unknown,no
38,management,single,tertiary,no,1746,yes,no,unknown,21,may,139,1,999,0,unknown,no
51,services,married,unknown,no,5801,yes,no,unknown,29,may,147,2,999,0,unknown,no
39,admin.,married,secondary,no,1388,yes,no,cellular,15,jul,150,5,999,0,unknown,no
43,services,married,tertiary,no,519,yes,no,cellular,18,may,715,6,999,0,unknown,no
27,student,single,tertiary,no,24,yes,no,cellular,2,feb,344,2,999,0,unknown,no
29,technician,married,tertiary,no,-722,no,yes,unknown,27,jun,121,4,999,0,unknown,no
45,unknown,married,unknown,no,2834,no,no,cellular,4,aug,112,1,999,0,unknown,no
33,technician,married,secondary,no,-74,yes,no,cellular,25,jul,198,4,999,0,unknown,no
30,admin.,married,secondary,no,15,yes,no,unknown,9,may,257,1,999,0,unknown,no
34,management,married,tertiary,no,3402,no,no,cellular,3,jun,88,2,999,0,unknown,no
33,technician,married,tertiary,no,16992,yes,no,unknown,29,may,58,1,999,0,unknown,no
35,management,married,tertiary,no,867,yes,no,cellular,20,nov,298,2,171,3,success,no
35,technician,married,secondary,no,6,yes,no,cellular,11,may,204,2,348,2,failure,no
42,housemaid,married,primary,no,0,no,yes,cellular,11,jul,83,2,999,0,unknown,no
37,management,married,tertiary,no,636,no,yes,unknown,5,jun,338,2,999,0,unknown,no
31,management,single,tertiary,no,-201,yes,no,cellular,22,aug,81,4,999,0,unknown,no
31,unemployed,single,tertiary,no,1489,yes,no,cellular,3,feb,678,1,999,0,unknown,no
49,blue-collar,married,primary,no,23,yes,no,unknown,23,may,247,1,999,0,unknown,no
42,management,married,tertiary,no,9916,yes,no,cellular,21,nov,306,1,999,0,unknown,no
51,blue-collar,married,primary,no,1694,no,no,cellular,13,aug,186,2,999,0,unknown,no
36,services,married,secondary,no,380,yes,no,unknown,20,may,26,1,999,0,unknown,no
34,admin.,married,tertiary,no,35,yes,no,cellular,15,oct,76,1,69,2,failure,no
27,admin.,married,secondary,no,941,yes,no,cellular,11,jul,124,1,999,0,unknown,no
44,blue-collar,married,secondary,no,1397,no,no,cellular,20,nov,326,1,999,0,unknown,no
41,admin.,divorced,secondary,no,110,yes,yes,cellular,5,feb,76,2,999,0,unknown,no
50,blue-collar,married,primary,no,280,yes,no,unknown,18,jun,61,23,999,0,unknown,no
37,services,married,secondary,no,50,yes,no,unknown,8,may,352,3,999,0,unknown,no
57,housemaid,married,primary,no,1969,no,no,cellular,14,aug,286,3,999,0,unknown,no
36,services,married,secondary,no,5024,no,no,unknown,21,may,139,1,999,0,unknown,no
42,blue-collar,married,primary,no,-67,yes,no,unknown,9,may,128,1,999,0,unknown,no
39,services,married,secondary,no,1970,yes,no,unknown,8,jun,30,1,404,2,success,no
44,blue-collar,single,primary,no,0,yes,no,cellular,24,jul,184,1,999,0,unknown,no
51,blue-collar,married,primary,no,0,no,no,unknown,8,may,384,1,999,0,unknown,no
33,technician,single,tertiary,no,1257,yes,no,cellular,22,jul,66,1,999,0,unknown,no
46,technician,married,secondary,no,488,no,no,unknown,5,jun,92,1,999,0,unknown,no
44,technician,married,tertiary,no,717,no,no,cellular,3,jun,150,2,999,0,unknown,no
38,services,married,secondary,no,3165,yes,no,unknown,12,may,152,2,999,0,unknown,no
30,student,married,tertiary,no,324,no,no,cellular,25,aug,585,4,999,0,unknown,no
30,blue-collar,single,secondary,no,132,yes,no,unknown,16,may,329,1,999,0,unknown,no
34,management,married,secondary,no,56,yes,no,cellular,20,nov,311,3,183,1,failure,no
24,services,single,secondary,no,11,yes,no,unknown,27,jun,114,4,999,0,unknown,no
29,self-employed,married,tertiary,no,242,yes,no,cellular,18,jul,73,4,999,0,unknown,no
31,services,single,secondary,no,658,no,no,cellular,22,may,100,1,999,0,unknown,no
45,technician,married,secondary,no,2571,no,no,unknown,18,jun,146,2,999,0,unknown,no
30,technician,single,secondary,no,1286,no,no,telephone,28,aug,44,12,999,0,unknown,no
29,technician,single,secondary,no,307,yes,no,cellular,3,feb,216,1,999,0,unknown,no
36,blue-collar,married,primary,no,21,no,no,telephone,20,nov,35,1,999,0,unknown,no
40,blue-collar,married,secondary,no,1938,yes,no,cellular,7,may,228,1,999,0,unknown,no
57,management,married,secondary,no,123,no,no,cellular,2,feb,154,2,999,0,unknown,no
38,management,single,tertiary,no,1637,no,yes,cellular,5,aug,231,1,999,0,unknown,no
26,management,single,tertiary,no,9447,no,no,cellular,4,sep,113,1,100,2,other,no
53,management,divorced,tertiary,no,6388,yes,no,telephone,23,jul,203,2,999,0,unknown,no
34,blue-collar,married,primary,no,479,no,no,cellular,11,jul,772,1,999,0,unknown,no
31,admin.,single,secondary,no,387,yes,no,cellular,13,may,228,2,370,1,failure,no
30,admin.,married,secondary,no,-170,yes,yes,unknown,26,may,130,1,999,0,unknown,no
57,housemaid,married,primary,no,260,yes,no,unknown,16,may,38,3,999,0,unknown,no
49,management,married,secondary,no,104,yes,no,unknown,8,may,285,1,999,0,unknown,no
39,management,married,tertiary,no,-468,yes,yes,cellular,8,aug,88,2,999,0,unknown,no
43,blue-collar,married,primary,no,-120,yes,no,unknown,3,jun,46,1,999,0,unknown,no
37,self-employed,married,secondary,no,3396,no,no,cellular,18,aug,69,6,999,0,unknown,no
55,management,married,tertiary,no,5010,no,no,cellular,18,nov,530,1,999,0,unknown,no
28,blue-collar,married,secondary,no,1020,yes,no,unknown,28,may,251,1,999,0,unknown,no
31,blue-collar,married,secondary,no,1660,yes,no,cellular,20,apr,342,1,999,0,unknown,no
49,blue-collar,married,primary,no,230,no,yes,unknown,30,jun,176,1,999,0,unknown,no
52,blue-collar,married,secondary,no,331,no,no,cellular,8,aug,84,4,999,0,unknown,no
33,management,married,tertiary,no,2044,yes,no,cellular,15,may,102,3,177,1,failure,no
31,blue-collar,single,secondary,no,609,yes,no,cellular,14,apr,1126,1,335,1,failure,no
42,services,divorced,secondary,no,444,no,no,cellular,21,nov,171,1,999,0,unknown,no
50,management,married,tertiary,no,400,no,no,cellular,13,aug,343,2,999,0,unknown,no
47,management,married,primary,no,4151,yes,no,unknown,14,may,114,1,999,0,unknown,no
42,blue-collar,married,primary,no,0,yes,yes,cellular,7,may,209,2,999,0,unknown,no
